Tune_name,1,1+,1-,2,2+,2-,3,3+,3-,4,4+,5,5+,5-,6,6+,6-,7,7-,r,Other
desjarlais_reel.krn.B_scale_dist_dur.txt,28,,,16,,,60,,,48,,80,,,20,,,4,,,
desnoyer_reel.krn.B_scale_dist_dur.txt,96,,,28,,,12,,,,,52,,,52,,,16,,,
deux_lisa_le_reel_des.krn.B_scale_dist_dur.txt,36,,,36,,,60,,,36,,52,,,16,,,20,,,
deuxieme_partie_du_quarille_de_l_ile_d_orleans.krn.B_scale_dist_dur.txt,30,,,28,,,34,,,14,,26,,,10,,,34,,,
devil_in_the_strawstack.krn.B_scale_dist_dur.txt,96,,,44,,,,,,12,,72,,,,,,,32,,
devils_churn.krn.B_scale_dist_dur.txt,32,,,32,,,40,,,28,,16,,,40,,,6,62,,
devlins.krn.B_scale_dist_dur.txt,44,,,16,,,12,,,28,,32,,,8,,,,48,,
diable_vert.krn.B_scale_dist_dur.txt,42,,,28,,,74,,,14,,54,,,20,,,24,,,
dick_gossips.krn.B_scale_dist_dur.txt,36,,,44,,,32,,,44,,18,,,66,,,20,,,
dilberts_jig.krn.B_scale_dist_dur.txt,28,,,8,,,30,,,4,4,38,,,34,,,36,,,
dinah.krn.B_scale_dist_dur.txt,64,,,64,,,40,,,16,,40,,,24,,,,,,
dinkys_reel.krn.B_scale_dist_dur.txt,104,,,42,,,8,,,12,,28,,,22,,,4,36,,
divine_reel.krn.B_scale_dist_dur.txt,58,,,8,,,44,,,40,,58,,,,,,,48,,
dominion_reel.krn.B_scale_dist_dur.txt,12,,,16,,,,,48,28,,68,,,4,,20,,60,,
don_tremaines_reel.krn.B_scale_dist_dur.txt,36,,,56,,,52,,,44,4,36,,,8,,,20,,,
done_gone.krn.B_scale_dist_dur.txt,52,,,20,,,24,,,32,,76,,,16,,,,16,16,
donegal_lass.krn.B_scale_dist_dur.txt,44,,,12,,,12,,,24,,32,,,32,,,4,32,,
doon_the_brae.krn.B_scale_dist_dur.txt,84,,,30,,,12,,,22,,52,,,,2,,,42,,
dowds_9.krn.B_scale_dist_dur.txt,60,,,36,,,62,,,36,,34,,,10,,,18,,,
drowsy_maggie.krn.B_scale_dist_dur.txt,54,,,34,,,46,,,10,2,38,,,32,,,40,,,
drummond_castle.krn.B_scale_dist_dur.txt,18,,,16,,,52,,,48,,36,,,,,,,24,,
drunken_landlady.krn.B_scale_dist_dur.txt,64,,,52,,,,,,44,,32,,,,8,,,56,,
dubuque.krn.B_scale_dist_dur.txt,48,,,48,,,44,,,16,,40,,,48,,,,,,
duck_river.krn.B_scale_dist_dur.txt,44,,,40,,,40,,,12,,56,,,32,,,8,,,
ducks_on_the_pond.krn.B_scale_dist_dur.txt,64,,,28,,,,,,20,,64,,,,16,,,64,,
dunbar.krn.B_scale_dist_dur.txt,44,,,24,,,36,,,,,52,,,48,,,8,,,
dunmore_lasses.krn.B_scale_dist_dur.txt,72,,,40,,,42,,,24,,50,,,6,,,,22,,
durangs_hornpipe.krn.B_scale_dist_dur.txt,56,,,48,,,52,,,8,,40,,,36,,,8,,,
earls_chair.krn.B_scale_dist_dur.txt,46,,,68,,,58,,,12,,30,,,40,,,4,,,
early_in_the_year.krn.B_scale_dist_dur.txt,36,,,14,,,22,,,16,,52,,,52,,,,,,
east_neuk_of_fife.krn.B_scale_dist_dur.txt,24,,,8,,,68,,,48,,48,,,28,,,,32,,
