Tune_name,do,re,me,mi,fa,fi,so,la,le,te,ti,Other
eli_greenes_cakewalk.krn.diss_A.txt,,32,2,,14,,,,4,,,
elsies_farewell.krn.diss_A.txt,4,24,,,,,8,8,,,,
elvira.krn.diss_A.txt,12,24,4,14,2,2,,16,,4,4,
enrico.krn.diss_A.txt,16,16,,12,48,,4,36,,20,,
equinox.krn.diss_A.txt,,12,,,2,,8,12,,12,,
eriks_reel.krn.diss_A.txt,4,26,,8,,,,,,,,
erin.krn.diss_A.txt,16,16,,16,,,,22,,,2,
esquimaux_reel_des.krn.diss_A.txt,8,20,,8,20,,,18,,,14,
eugene_reel.krn.diss_A.txt,,28,4,,12,,8,,8,,,
evil_diane.krn.diss_A.txt,8,12,,8,20,,8,16,,,25,
evil_red_three.krn.diss_A.txt,8,,,,8,,4,,,,,
evit_gabriel.krn.diss_A.txt,,40,8,,20,,12,,,,,
exile_of_erin.krn.diss_A.txt,12,20,4,4,32,,16,4,,8,,
fair_jennys_jig.krn.diss_A.txt,,,,4,12,,,4,,,12,
far_from_home.krn.diss_A.txt,8,20,,8,8,,8,24,,,4,
farewell_to_tchernobyl.krn.diss_A.txt,8,8,24,,12,,24,,,4,,
farrell_o_gara.krn.diss_A.txt,8,4,,16,8,,,20,,,8,
father_francis_camerons_reel.krn.diss_A.txt,,,,12,12,,,,,,,
father_kellys.krn.diss_A.txt,8,18,,16,8,,20,8,,,8,
faubourg_reel_du.krn.diss_A.txt,26,12,,,,,2,28,,,32,
february_march.krn.diss_A.txt,,40,,6,,,,26,,,,
fee_des_dents_la.krn.diss_A.txt,8,12,,4,8,,8,4,,,8,
feed_her_candy_and_tell_her_lies.krn.diss_A.txt,,16,,,8,,,26,,,8,
fermoy_lasses.krn.diss_A.txt,,4,,,8,,6,,14,,,
festival_du_voyageur_reel.krn.diss_A.txt,24,16,8,,4,,10,,4,16,,
festival_du_voyageur_reel_alternate.krn.diss_A.txt,16,18,,,8,,16,20,,16,,
fiddlers_dream.krn.diss_A.txt,12,28,,28,6,,8,32,,,,
fiddlers_dream3.krn.diss_A.txt,16,28,,12,4,,4,28,,,24,
field_in_forest.krn.diss_A.txt,,44,,4,8,,,8,,,,
field_in_forest_alternate_chords.krn.diss_A.txt,,44,,4,8,,,8,,,,
fine_times_at_our_house.krn.diss_A.txt,4,8,,8,36,,4,32,,,16,
flat-footed_henry.krn.diss_A.txt,4,16,,20,12,,32,12,,,12,
fleur_de_mandragore.krn.diss_A.txt,24,24,,12,12,,20,,,,24,
flowers_of_autumn.krn.diss_A.txt,,4,,16,4,,4,12,,,,
fly_fishing_reel.krn.diss_A.txt,8,8,,28,,,8,,,,8,
flying_clouds.krn.diss_A.txt,8,,,12,22,,8,4,,,8,
flying_fox.krn.diss_A.txt,4,14,,8,4,,8,,,,8,
flying_home_to_shelley.krn.diss_A.txt,64,14,,16,14,,16,8,,,,
folding_down_the_sheets.krn.diss_A.txt,12,4,,8,6,,8,,,,12,
folklife_reel.krn.diss_A.txt,,8,4,,36,,4,,32,,,
foot_to_the_ground.krn.diss_A.txt,16,34,,8,8,,,,,,,
forest_wedding.krn.diss_A.txt,4,12,2,,2,,12,,2,2,,
foresters_hornpipe.krn.diss_A.txt,4,,,12,6,24,,12,,,8,
forked_deer.krn.diss_A.txt,12,24,,24,16,,4,8,,,,
franco-american_reel.krn.diss_A.txt,,8,,8,4,,8,32,,,12,
franks_reel.krn.diss_A.txt,8,24,,10,2,,6,11,,,3,
fred_finns.krn.diss_A.txt,4,16,,8,8,,8,14,,,16,
fremont_center.krn.diss_A.txt,2,4,,14,6,,6,,,28,,
frenchies_reel.krn.diss_A.txt,,28,,,32,,,2,,,4,
froggie_on_the_carport.krn.diss_A.txt,8,2,,4,4,,8,32,,,16,
frost_is_all_over.krn.diss_A.txt,,32,,,,,,8,,,,
full_moon_jig.krn.diss_A.txt,8,8,,16,8,,,4,,,8,
funnel_in_the_tunesmiths_truck.krn.diss_A.txt,,10,,18,22,2,4,4,,,8,
gadeliderot_le.krn.diss_A.txt,12,4,,24,20,,4,16,,,2,
gale.krn.diss_A.txt,4,12,12,,4,,,,,4,,
galens_arrival.krn.diss_A.txt,4,14,,16,8,,,4,,,4,
gallaghers_frolics.krn.diss_A.txt,4,12,8,,20,,,,,8,,
garfield.krn.diss_A.txt,8,16,,,8,,,16,,16,,
garsters_dream.krn.diss_A.txt,4,8,,8,,,8,8,,,,
geese_in_the_bog.krn.diss_A.txt,12,8,,,,,4,,,,,
george_whites_favorite.krn.diss_A.txt,20,4,,16,,,8,24,,,,
gigue_de_terrebonne.krn.diss_A.txt,4,,,8,8,,4,12,,,24,
gigue_des_capuchons.krn.diss_A.txt,8,8,,12,14,,,,,,,
